Wn(um),Wp(um),Vm(V)
3.4,0.4,0.591555843
3.44,0.4,0.590952993
3.48,0.4,0.590358463
3.52,0.4,0.589733148
3.56,0.4,0.58906676
3.6,0.4,0.588421683
3.64,0.4,0.587796108
3.68,0.4,0.587188385
3.72,0.4,0.586597009
3.76,0.4,0.5860206
3.8,0.4,0.585457891
3.84,0.4,0.584907718
3.88,0.4,0.584369004
3.92,0.4,0.583840755
3.96,0.4,0.583329299
4,0.4,0.582817171
0.2,0.44,0.768393393
0.24,0.44,0.760604589
0.28,0.44,0.752750061
0.32,0.44,0.745293211
0.36,0.44,0.738412982
0.4,0.44,0.73194881
0.44,0.44,0.72579543
0.48,0.44,0.72034431
0.52,0.44,0.714898876
0.56,0.44,0.710171177
0.6,0.44,0.705356879
0.64,0.44,0.701138993
0.68,0.44,0.696953919
0.72,0.44,0.693115717
0.76,0.44,0.689564065
0.8,0.44,0.685969847
0.84,0.44,0.682737185
0.88,0.44,0.679708716
0.92,0.44,0.676591954
0.96,0.44,0.673758022
1,0.44,0.671141922
1.04,0.44,0.668478653
1.08,0.44,0.665921423
1.12,0.44,0.663551801
1.16,0.44,0.661337458
1.2,0.44,0.659110482
1.24,0.44,0.656868691
1.28,0.44,0.654813989
1.32,0.44,0.652874877
1.36,0.44,0.651035461
1.4,0.44,0.649155116
1.44,0.44,0.64725606
1.48,0.44,0.645506008
1.52,0.44,0.643838201
1.56,0.44,0.642255615
1.6,0.44,0.640735977
1.64,0.44,0.639151523
1.68,0.44,0.637557134
1.72,0.44,0.636061933
1.76,0.44,0.634658779
1.8,0.44,0.633304589
1.84,0.44,0.63200517
1.88,0.44,0.630747825
1.92,0.44,0.629447778
1.96,0.44,0.62810128
2,0.44,0.62682949
2.04,0.44,0.62562088
2.08,0.44,0.624476096
2.12,0.44,0.623360084
2.16,0.44,0.622282639
2.2,0.44,0.621236316
2.24,0.44,0.620214364
2.28,0.44,0.619094119
2.32,0.44,0.617996195
2.36,0.44,0.616949372
2.4,0.44,0.615946919
2.44,0.44,0.614982898
2.48,0.44,0.614061153
2.52,0.44,0.613154879
2.56,0.44,0.612274091
2.6,0.44,0.611414625
2.64,0.44,0.610572681
2.68,0.44,0.609703658
2.72,0.44,0.608775124
2.76,0.44,0.60788531
2.8,0.44,0.607029905
2.84,0.44,0.606205068
2.88,0.44,0.605407353
2.92,0.44,0.604633664
2.96,0.44,0.603890005
3,0.44,0.603153002
3.04,0.44,0.602433255
3.08,0.44,0.601728429
3.12,0.44,0.601036402
3.16,0.44,0.600355176
3.2,0.44,0.599632031
3.24,0.44,0.598875591
3.28,0.44,0.598145679
3.32,0.44,0.597439798
3.36,0.44,0.596755694
3.4,0.44,0.596091318
3.44,0.44,0.595444804
3.48,0.44,0.594814449
3.52,0.44,0.594198692
3.56,0.44,0.59360399
3.6,0.44,0.593010729
3.64,0.44,0.592428671
3.68,0.44,0.591856584
3.72,0.44,0.591293291
3.76,0.44,0.590737715
3.8,0.44,0.59018883
3.84,0.44,0.58958901
3.88,0.44,0.588976014
3.92,0.44,0.588380956
3.96,0.44,0.587802423
4,0.44,0.58723911
0.2,0.48,0.778628179
0.24,0.48,0.77043821
0.28,0.48,0.762251992
0.32,0.48,0.754482245
0.36,0.48,0.747274876
0.4,0.48,0.740664181
0.44,0.48,0.734267425
0.48,0.48,0.728471816
0.52,0.48,0.722978289
0.56,0.48,0.717889386
0.6,0.48,0.713094183
0.64,0.48,0.708661945
0.68,0.48,0.704342216
0.72,0.48,0.700492068
0.76,0.48,0.69657905
0.8,0.48,0.693034105
0.84,0.48,0.68974714
0.88,0.48,0.686372404
0.92,0.48,0.68332144
0.96,0.48,0.680502648
1,0.48,0.677588235
1.04,0.48,0.674857157
1.08,0.48,0.672349527
1.12,0.48,0.669983246
1.16,0.48,0.667473134
1.2,0.48,0.665145495
1.24,0.48,0.662990366
1.28,0.48,0.660955696
1.32,0.48,0.658859983
1.36,0.48,0.656813188
1.4,0.48,0.654882331
1.44,0.48,0.653072454
1.48,0.48,0.651351537
1.52,0.48,0.649644665
1.56,0.48,0.647839698
1.6,0.48,0.646178426
1.64,0.48,0.644587995
1.68,0.48,0.643080622
1.72,0.48,0.641637117
1.76,0.48,0.640240508
1.8,0.48,0.638722308
1.84,0.48,0.637263077
1.88,0.48,0.635886126
1.92,0.48,0.634587692
1.96,0.48,0.633329469
2,0.48,0.632118556
2.04,0.48,0.630944694
2.08,0.48,0.629766758
2.12,0.48,0.628494962
2.16,0.48,0.627290824
2.2,0.48,0.626144617
2.24,0.48,0.625061728
2.28,0.48,0.62400115
2.32,0.48,0.622977803
2.36,0.48,0.621985287
2.4,0.48,0.621017829
2.44,0.48,0.620070112
2.48,0.48,0.619012693
2.52,0.48,0.617993851
2.56,0.48,0.617019031
2.6,0.48,0.616082801
2.64,0.48,0.615180339
2.68,0.48,0.614317592
2.72,0.48,0.61346619
2.76,0.48,0.612638045
2.8,0.48,0.611829685
2.84,0.48,0.611037948
2.88,0.48,0.610259887
2.92,0.48,0.60941493
2.96,0.48,0.608561753
3,0.48,0.607741029
3.04,0.48,0.606949376
3.08,0.48,0.606183757
3.12,0.48,0.605441426
3.16,0.48,0.604719897
3.2,0.48,0.604026212
3.24,0.48,0.60333655
3.28,0.48,0.602662273
3.32,0.48,0.60200146
3.36,0.48,0.601352357
3.4,0.48,0.600713318
3.44,0.48,0.600082792
3.48,0.48,0.59937643
3.52,0.48,0.598680595
3.56,0.48,0.598007033
3.6,0.48,0.597353786
3.64,0.48,0.596719073
3.68,0.48,0.596101264
3.72,0.48,0.595498866
3.76,0.48,0.594910507
3.8,0.48,0.594334926
3.84,0.48,0.593779499
3.88,0.48,0.593223561
3.92,0.48,0.592677679
3.96,0.48,0.592140833
4,0.48,0.591612048
0.2,0.52,0.788280968
0.24,0.52,0.779754177
0.28,0.52,0.771300349
0.32,0.52,0.76324866
0.36,0.52,0.755743111
0.4,0.52,0.74887042
0.44,0.52,0.742382223
0.48,0.52,0.736260519
0.52,0.52,0.730789621
0.56,0.52,0.725360568
0.6,0.52,0.720603344
0.64,0.52,0.715793156
0.68,0.52,0.711531097
0.72,0.52,0.7073454
0.76,0.52,0.703449427
0.8,0.52,0.699935514
0.84,0.52,0.696234682
0.88,0.52,0.692946357
0.92,0.52,0.689892229
0.96,0.52,0.686715862
1,0.52,0.683828749
1.04,0.52,0.681162144
1.08,0.52,0.678448576
1.12,0.52,0.675842612
1.16,0.52,0.673427455
1.2,0.52,0.671166055
1.24,0.52,0.668864346
1.28,0.52,0.66660687
1.32,0.52,0.664493245
1.36,0.52,0.662515408
1.4,0.52,0.660632572
1.44,0.52,0.658652536
1.48,0.52,0.656753135
1.52,0.52,0.654950363
1.56,0.52,0.653253869
1.6,0.52,0.651637254
1.64,0.52,0.650077253
1.68,0.52,0.648369145
1.72,0.52,0.646764153
1.76,0.52,0.645266673
1.8,0.52,0.643825347
1.84,0.52,0.642447539
1.88,0.52,0.641118545
1.92,0.52,0.639797857
1.96,0.52,0.63836977
2,0.52,0.637024045
2.04,0.52,0.635747683
2.08,0.52,0.634539398
2.12,0.52,0.633364396
2.16,0.52,0.63223075
2.2,0.52,0.631130044
2.24,0.52,0.630054573
2.28,0.52,0.628857933
2.32,0.52,0.627714038
2.36,0.52,0.62662344
2.4,0.52,0.62557885
2.44,0.52,0.62458473
2.48,0.52,0.62360897
2.52,0.52,0.622663387
2.56,0.52,0.621742952
2.6,0.52,0.620843079
2.64,0.52,0.61995296
2.68,0.52,0.618958815
2.72,0.52,0.618008044
2.76,0.52,0.617095652
2.8,0.52,0.616217192
2.84,0.52,0.615368685
2.88,0.52,0.614557988
2.92,0.52,0.61375493
2.96,0.52,0.612973187
3,0.52,0.612209825
3.04,0.52,0.611462179
3.08,0.52,0.61072776
3.12,0.52,0.610004229
3.16,0.52,0.609184679
3.2,0.52,0.608395065
3.24,0.52,0.607633081
3.28,0.52,0.60689602
3.32,0.52,0.606181436
3.36,0.52,0.605487105
3.4,0.52,0.604810998
3.44,0.52,0.604161105
3.48,0.52,0.603512935
3.52,0.52,0.602878586
3.56,0.52,0.602256477
3.6,0.52,0.601645121
3.64,0.52,0.601043145
3.68,0.52,0.600449254
3.72,0.52,0.599839983
3.76,0.52,0.599174638
3.8,0.52,0.59853
3.84,0.52,0.597904357
3.88,0.52,0.597296141
3.92,0.52,0.596703921
3.96,0.52,0.596126373
4,0.52,0.595562287
0.2,0.56,0.797407647
0.24,0.56,0.788522392
0.28,0.56,0.779919225
0.32,0.56,0.771635863
0.36,0.56,0.763867677
0.4,0.56,0.756692056
0.44,0.56,0.750181678
0.48,0.56,0.743834812
0.52,0.56,0.73805492
0.56,0.56,0.732663899
0.6,0.56,0.727539514
0.64,0.56,0.722783254
0.68,0.56,0.718320268
0.72,0.56,0.714022798
0.76,0.56,0.710201147
0.8,0.56,0.706213242
0.84,0.56,0.702663944
0.88,0.56,0.699334676
0.92,0.56,0.695922551
0.96,0.56,0.69285903
1,0.56,0.690009051
1.04,0.56,0.687013086
1.08,0.56,0.684273998
1.12,0.56,0.681742978
1.16,0.56,0.679247137
1.2,0.56,0.676732938
1.24,0.56,0.674398576
1.28,0.56,0.67222301
1.32,0.56,0.670153199
1.36,0.56,0.667927741
1.4,0.56,0.66587482
1.44,0.56,0.663937431
1.48,0.56,0.662108651
1.52,0.56,0.660355879
1.56,0.56,0.65847838
1.6,0.56,0.656706899
1.64,0.56,0.65501645
1.68,0.56,0.653420141
1.72,0.56,0.651895956
1.76,0.56,0.650424411
1.8,0.56,0.648850791
1.84,0.56,0.647314174
1.88,0.56,0.64588351
1.92,0.56,0.644500935
1.96,0.56,0.643180756
2,0.56,0.641910052
2.04,0.56,0.640677251
2.08,0.56,0.639394014
2.12,0.56,0.63807535
2.16,0.56,0.636826395
2.2,0.56,0.635653262
2.24,0.56,0.634506869
2.28,0.56,0.63340474
2.32,0.56,0.632339111
2.36,0.56,0.631303004
